,name,num_samples_with_name_in_cap,num_similar_samples,openclip_num_correct_preds,resnet50_num_correct_preds,openclip_percentage_correct_preds,resnet50_percentage_correct_preds,gender,openclip_percentage_correct_preds_bins,resnet50_percentage_correct_preds_bins
0,Desmond_Harrington,135,3150,398,150,0.12634920634920635,0.047619047619047616,m,"(0.12, 0.129]","(0.0411, 0.0477]"
1,Danny_Masterson,1516,3550,441,207,0.12422535211267606,0.058309859154929575,m,"(0.12, 0.129]","(0.0531, 0.0585]"
2,Paul_Bettany,1514,4200,534,297,0.12714285714285714,0.07071428571428572,m,"(0.12, 0.129]","(0.0665, 0.0785]"
3,Dominic_Monaghan,362,3550,445,296,0.12535211267605634,0.08338028169014085,m,"(0.12, 0.129]","(0.0785, 0.0867]"
4,Milo_Ventimiglia,910,5900,726,502,0.12305084745762712,0.08508474576271187,m,"(0.12, 0.129]","(0.0785, 0.0867]"
5,Luke_Wilson,500,3750,467,397,0.12453333333333333,0.10586666666666666,m,"(0.12, 0.129]","(0.103, 0.123]"
6,Chris_Kattan,707,3800,459,459,0.12078947368421053,0.12078947368421053,m,"(0.12, 0.129]","(0.103, 0.123]"
7,Ben_Kingsley,1784,3800,472,520,0.12421052631578948,0.1368421052631579,m,"(0.12, 0.129]","(0.123, 0.144]"
8,Omid_Djalili,186,2750,380,44,0.13818181818181818,0.016,m,"(0.129, 0.138]","(0.0125, 0.0162]"
9,Bill_Hader,1607,5050,694,266,0.13742574257425744,0.05267326732673267,m,"(0.129, 0.138]","(0.0477, 0.0531]"
10,Matt_Dillon,803,3500,469,219,0.134,0.06257142857142857,m,"(0.129, 0.138]","(0.0585, 0.0665]"
11,Andy_Garcia,1257,4900,640,628,0.1306122448979592,0.12816326530612246,m,"(0.129, 0.138]","(0.123, 0.144]"
12,Bill_Murray,1277,3650,492,489,0.13479452054794522,0.13397260273972603,m,"(0.129, 0.138]","(0.123, 0.144]"
13,Jackson_Rathbone,337,2700,386,27,0.14296296296296296,0.01,m,"(0.138, 0.147]","(0.00819, 0.0125]"
14,Alfred_Molina,233,3050,442,178,0.14491803278688525,0.058360655737704915,m,"(0.138, 0.147]","(0.0531, 0.0585]"
15,Charlie_Day,189,2400,337,154,0.14041666666666666,0.06416666666666666,m,"(0.138, 0.147]","(0.0585, 0.0665]"
16,Bruce_Greenwood,776,3400,479,267,0.14088235294117646,0.07852941176470589,m,"(0.138, 0.147]","(0.0785, 0.0867]"
17,Samuel_L._Jackson,1235,3250,454,281,0.1396923076923077,0.08646153846153846,m,"(0.138, 0.147]","(0.0785, 0.0867]"
18,Kevin_McKidd,1704,4400,630,409,0.1431818181818182,0.09295454545454546,m,"(0.138, 0.147]","(0.0867, 0.103]"
19,Alexander_Skarsgård,169,4900,700,636,0.14285714285714285,0.12979591836734694,m,"(0.138, 0.147]","(0.123, 0.144]"
20,Matt_LeBlanc,1206,4700,668,622,0.14212765957446807,0.13234042553191488,m,"(0.138, 0.147]","(0.123, 0.144]"
21,Don_Cheadle,1518,3400,521,75,0.15323529411764705,0.022058823529411766,m,"(0.147, 0.156]","(0.0195, 0.0228]"
22,Rob_Schneider,632,3750,559,112,0.14906666666666665,0.029866666666666666,m,"(0.147, 0.156]","(0.0252, 0.0304]"
23,Gabriel_Macht,704,6350,958,496,0.15086614173228347,0.07811023622047245,m,"(0.147, 0.156]","(0.0665, 0.0785]"
