,name,num_samples_with_name_in_cap,num_similar_samples,openclip_num_correct_preds,resnet50_num_correct_preds,openclip_percentage_correct_preds,resnet50_percentage_correct_preds,gender,openclip_percentage_correct_preds_bins,resnet50_percentage_correct_preds_bins
0,Sam_Rockwell,248,3900,81,15,0.02076923076923077,0.0038461538461538464,m,"(0.0028, 0.0297]","(0.00233, 0.00403]"
1,Patrick_Warburton,958,2950,61,64,0.020677966101694915,0.02169491525423729,m,"(0.0028, 0.0297]","(0.0195, 0.0228]"
2,Kevin_Connolly,807,4150,61,102,0.014698795180722892,0.02457831325301205,m,"(0.0028, 0.0297]","(0.0228, 0.0252]"
3,Ben_Stiller,2759,4550,172,176,0.037802197802197804,0.03868131868131868,m,"(0.0297, 0.0395]","(0.0354, 0.0411]"
4,Ray_Stevenson,252,1550,63,16,0.04064516129032258,0.01032258064516129,m,"(0.0395, 0.0455]","(0.00819, 0.0125]"
5,John_Krasinski,1097,4250,190,233,0.04470588235294118,0.05482352941176471,m,"(0.0395, 0.0455]","(0.0531, 0.0585]"
6,Michael_Weatherly,1280,5600,268,91,0.047857142857142855,0.01625,m,"(0.0455, 0.0535]","(0.0162, 0.0195]"
7,Richard_Schiff,341,3000,166,61,0.05533333333333333,0.02033333333333333,m,"(0.0535, 0.0597]","(0.0195, 0.0228]"
8,Ioan_Gruffudd,447,3850,230,98,0.05974025974025974,0.025454545454545455,m,"(0.0535, 0.0597]","(0.0252, 0.0304]"
9,John_Cleese,901,3400,182,109,0.05352941176470588,0.032058823529411765,m,"(0.0535, 0.0597]","(0.0304, 0.0354]"
10,David_Boreanaz,1007,4800,264,276,0.055,0.0575,m,"(0.0535, 0.0597]","(0.0531, 0.0585]"
11,Michael_Vartan,412,4700,279,344,0.05936170212765957,0.07319148936170213,m,"(0.0535, 0.0597]","(0.0665, 0.0785]"
12,James_Remar,1184,2700,172,83,0.0637037037037037,0.030740740740740742,m,"(0.0597, 0.0657]","(0.0304, 0.0354]"
13,Jason_Sudeikis,891,4100,260,182,0.06341463414634146,0.04439024390243902,m,"(0.0597, 0.0657]","(0.0411, 0.0477]"
14,Joe_Pantoliano,323,3100,205,39,0.06612903225806452,0.012580645161290323,m,"(0.0657, 0.0722]","(0.0125, 0.0162]"
15,Jason_Behr,244,3750,256,75,0.06826666666666667,0.02,m,"(0.0657, 0.0722]","(0.0195, 0.0228]"
16,Ryan_Phillippe,1830,4100,295,144,0.07195121951219512,0.0351219512195122,m,"(0.0657, 0.0722]","(0.0304, 0.0354]"
17,Chris_Klein,1162,2800,193,120,0.06892857142857142,0.04285714285714286,m,"(0.0657, 0.0722]","(0.0411, 0.0477]"
18,Colin_Hanks,998,3850,267,368,0.06935064935064936,0.09558441558441559,m,"(0.0657, 0.0722]","(0.0867, 0.103]"
19,John_Noble,525,2950,221,17,0.07491525423728813,0.00576271186440678,m,"(0.0722, 0.0784]","(0.00403, 0.00819]"
20,David_Wenham,175,3600,283,49,0.07861111111111112,0.01361111111111111,m,"(0.0784, 0.0888]","(0.0125, 0.0162]"
21,Brad_Garrett,846,4050,339,94,0.0837037037037037,0.023209876543209877,m,"(0.0784, 0.0888]","(0.0228, 0.0252]"
22,David_Cross,653,3450,294,93,0.08521739130434783,0.026956521739130435,m,"(0.0784, 0.0888]","(0.0252, 0.0304]"
23,Alan_Alda,1020,4350,347,127,0.07977011494252874,0.029195402298850575,m,"(0.0784, 0.0888]","(0.0252, 0.0304]"
24,Chazz_Palminteri,840,3800,323,135,0.085,0.035526315789473684,m,"(0.0784, 0.0888]","(0.0354, 0.0411]"
25,Anthony_Stewart_Head,129,4800,401,245,0.08354166666666667,0.051041666666666666,m,"(0.0784, 0.0888]","(0.0477, 0.0531]"
26,Andy_Richter,400,3350,304,10,0.09074626865671642,0.0029850746268656717,m,"(0.0888, 0.0951]","(0.00233, 0.00403]"
27,Jason_Lee,222,3600,339,85,0.09416666666666666,0.02361111111111111,m,"(0.0888, 0.0951]","(0.0228, 0.0252]"
28,Dan_Lauria,175,3550,317,155,0.08929577464788732,0.04366197183098591,m,"(0.0888, 0.0951]","(0.0411, 0.0477]"
29,Richard_E._Grant,239,2700,256,119,0.09481481481481481,0.04407407407407407,m,"(0.0888, 0.0951]","(0.0411, 0.0477]"
30,Eric_Dane,1335,3950,371,220,0.0939240506329114,0.05569620253164557,m,"(0.0888, 0.0951]","(0.0531, 0.0585]"
31,Hal_Holbrook,777,2400,240,0,0.1,0.0,m,"(0.0951, 0.103]","(-0.001, 0.00233]"
32,Scott_Patterson,234,2350,228,52,0.09702127659574468,0.022127659574468085,m,"(0.0951, 0.103]","(0.0195, 0.0228]"
33,Joe_Manganiello,1974,4350,439,102,0.10091954022988506,0.023448275862068966,m,"(0.0951, 0.103]","(0.0228, 0.0252]"
34,Jay_Baruchel,475,3850,382,96,0.09922077922077922,0.024935064935064935,m,"(0.0951, 0.103]","(0.0228, 0.0252]"
35,Matthew_Lillard,797,4200,427,219,0.10166666666666667,0.052142857142857144,m,"(0.0951, 0.103]","(0.0477, 0.0531]"
36,Ian_Holm,109,2250,238,5,0.10577777777777778,0.0022222222222222222,m,"(0.103, 0.112]","(-0.001, 0.00233]"
37,Christopher_Lloyd,535,2600,286,34,0.11,0.013076923076923076,m,"(0.103, 0.112]","(0.0125, 0.0162]"
38,Jean-Claude_Van_Damme,392,3000,318,90,0.106,0.03,m,"(0.103, 0.112]","(0.0252, 0.0304]"
