,name,num_samples_with_name_in_cap,num_similar_samples,openclip_num_correct_preds,resnet50_num_correct_preds,openclip_percentage_correct_preds,resnet50_percentage_correct_preds,gender,openclip_percentage_correct_preds_bins,resnet50_percentage_correct_preds_bins
0,Tina_Fey,1227,5550,389,267,0.0700900900900901,0.04810810810810811,f,"(0.0657, 0.0722]","(0.0477, 0.0531]"
1,Edie_Falco,873,3800,275,10,0.07236842105263158,0.002631578947368421,f,"(0.0722, 0.0784]","(0.00233, 0.00403]"
2,Rue_McClanahan,360,3750,277,19,0.07386666666666666,0.005066666666666666,f,"(0.0722, 0.0784]","(0.00403, 0.00819]"
3,Candice_Bergen,457,4800,366,92,0.07625,0.019166666666666665,f,"(0.0722, 0.0784]","(0.0162, 0.0195]"
4,Tamara_Braun,118,3050,226,81,0.0740983606557377,0.026557377049180327,f,"(0.0722, 0.0784]","(0.0252, 0.0304]"
5,Heather_Locklear,708,4800,368,163,0.07666666666666666,0.03395833333333333,f,"(0.0722, 0.0784]","(0.0304, 0.0354]"
6,Shannen_Doherty,622,4400,326,176,0.0740909090909091,0.04,f,"(0.0722, 0.0784]","(0.0354, 0.0411]"
7,Susan_Lucci,570,4550,343,206,0.07538461538461538,0.04527472527472527,f,"(0.0722, 0.0784]","(0.0411, 0.0477]"
8,Patricia_Arquette,463,5050,394,302,0.07801980198019802,0.0598019801980198,f,"(0.0722, 0.0784]","(0.0585, 0.0665]"
9,Julia_Louis-Dreyfus,880,5100,395,337,0.07745098039215687,0.06607843137254903,f,"(0.0722, 0.0784]","(0.0585, 0.0665]"
10,Shirley_Jones,484,3250,256,28,0.07876923076923077,0.008615384615384615,f,"(0.0784, 0.0888]","(0.00819, 0.0125]"
11,Natalie_Martinez,130,2300,203,29,0.08826086956521739,0.012608695652173913,f,"(0.0784, 0.0888]","(0.0125, 0.0162]"
12,Carey_Lowell,397,2550,213,63,0.08352941176470588,0.024705882352941175,f,"(0.0784, 0.0888]","(0.0228, 0.0252]"
13,Rachel_Griffiths,481,4000,316,250,0.079,0.0625,f,"(0.0784, 0.0888]","(0.0585, 0.0665]"
14,S._Epatha_Merkerson,724,3400,322,0,0.09470588235294118,0.0,f,"(0.0888, 0.0951]","(-0.001, 0.00233]"
15,Kristen_Johnston,279,3250,290,121,0.08923076923076922,0.037230769230769234,f,"(0.0888, 0.0951]","(0.0354, 0.0411]"
16,Christina_Applegate,393,6000,536,293,0.08933333333333333,0.04883333333333333,f,"(0.0888, 0.0951]","(0.0477, 0.0531]"
17,Stana_Katic,177,4150,371,203,0.08939759036144579,0.04891566265060241,f,"(0.0888, 0.0951]","(0.0477, 0.0531]"
18,Courteney_Cox,1502,6100,562,498,0.0921311475409836,0.08163934426229508,f,"(0.0888, 0.0951]","(0.0785, 0.0867]"
19,Kathy_Griffin,1250,2550,256,85,0.1003921568627451,0.03333333333333333,f,"(0.0951, 0.103]","(0.0304, 0.0354]"
20,Kim_Cattrall,551,5550,557,298,0.10036036036036036,0.05369369369369369,f,"(0.0951, 0.103]","(0.0531, 0.0585]"
21,Teri_Hatcher,538,4400,433,370,0.0984090909090909,0.08409090909090909,f,"(0.0951, 0.103]","(0.0785, 0.0867]"
22,Mayim_Bialik,2221,3850,367,340,0.09532467532467533,0.08831168831168831,f,"(0.0951, 0.103]","(0.0867, 0.103]"
23,Sarah_Michelle_Gellar,409,5700,560,506,0.09824561403508772,0.0887719298245614,f,"(0.0951, 0.103]","(0.0867, 0.103]"
24,Debi_Mazar,866,3750,390,53,0.104,0.014133333333333333,f,"(0.103, 0.112]","(0.0125, 0.0162]"
25,Justine_Bateman,198,3550,385,68,0.10845070422535211,0.01915492957746479,f,"(0.103, 0.112]","(0.0162, 0.0195]"
26,Julianna_Margulies,2860,5700,604,307,0.10596491228070175,0.05385964912280702,f,"(0.103, 0.112]","(0.0531, 0.0585]"
27,Kristin_Chenoweth,2105,6700,745,411,0.11119402985074626,0.061343283582089556,f,"(0.103, 0.112]","(0.0585, 0.0665]"
28,Christel_Khalil,151,2600,308,3,0.11846153846153847,0.001153846153846154,f,"(0.112, 0.12]","(-0.001, 0.00233]"
29,Katherine_Kelly_Lang,271,4650,524,41,0.11268817204301075,0.00881720430107527,f,"(0.112, 0.12]","(0.00819, 0.0125]"
30,Kathryn_Joosten,272,2950,341,33,0.11559322033898305,0.011186440677966102,f,"(0.112, 0.12]","(0.00819, 0.0125]"
31,Tia_Carrere,399,3900,475,333,0.12179487179487179,0.08538461538461538,f,"(0.12, 0.129]","(0.0785, 0.0867]"
32,McKayla_Maroney,280,3000,402,7,0.134,0.0023333333333333335,f,"(0.129, 0.138]","(0.00233, 0.00403]"
33,Susan_Flannery,202,3200,420,19,0.13125,0.0059375,f,"(0.129, 0.138]","(0.00403, 0.00819]"
34,Jasmine_Guy,178,3400,445,82,0.13088235294117648,0.02411764705882353,f,"(0.129, 0.138]","(0.0228, 0.0252]"
35,Sharon_Case,162,3450,476,195,0.13797101449275362,0.05652173913043478,f,"(0.129, 0.138]","(0.0531, 0.0585]"
36,Emily_Deschanel,513,3750,486,290,0.1296,0.07733333333333334,f,"(0.129, 0.138]","(0.0665, 0.0785]"
37,Audra_McDonald,633,4350,604,66,0.13885057471264367,0.015172413793103448,f,"(0.138, 0.147]","(0.0125, 0.0162]"
38,Sarah_Drew,348,4400,646,226,0.14681818181818182,0.05136363636363636,f,"(0.138, 0.147]","(0.0477, 0.0531]"
39,Jennette_McCurdy,466,4400,675,120,0.1534090909090909,0.02727272727272727,f,"(0.147, 0.156]","(0.0252, 0.0304]"
40,Fran_Drescher,1472,6150,918,468,0.14926829268292682,0.07609756097560975,f,"(0.147, 0.156]","(0.0665, 0.0785]"
41,Kaley_Cuoco,527,3850,600,346,0.15584415584415584,0.08987012987012986,f,"(0.147, 0.156]","(0.0867, 0.103]"
42,Mariel_Hemingway,283,3200,512,101,0.16,0.0315625,f,"(0.156, 0.162]","(0.0304, 0.0354]"
43,Marcia_Cross,1163,4900,774,260,0.1579591836734694,0.053061224489795916,f,"(0.156, 0.162]","(0.0477, 0.0531]"
44,Calista_Flockhart,1209,3550,562,189,0.15830985915492957,0.05323943661971831,f,"(0.156, 0.162]","(0.0531, 0.0585]"
45,Pamela_Anderson,529,3100,519,93,0.16741935483870968,0.03,f,"(0.162, 0.176]","(0.0252, 0.0304]"
46,Lisa_Bonet,597,2500,439,126,0.1756,0.0504,f,"(0.162, 0.176]","(0.0477, 0.0531]"
47,January_Jones,756,3700,610,251,0.16486486486486487,0.06783783783783784,f,"(0.162, 0.176]","(0.0665, 0.0785]"
48,Joan_Collins,1056,5450,1037,440,0.19027522935779817,0.08073394495412844,f,"(0.176, 0.196]","(0.0785, 0.0867]"
49,Glenn_Close,2590,5850,1126,518,0.19247863247863248,0.08854700854700855,f,"(0.176, 0.196]","(0.0867, 0.103]"
