,name,num_samples_with_name_in_cap,num_similar_samples,openclip_num_correct_preds,resnet50_num_correct_preds,openclip_percentage_correct_preds,resnet50_percentage_correct_preds,gender,openclip_percentage_correct_preds_bins,resnet50_percentage_correct_preds_bins
0,Shelley_Long,325,2750,53,6,0.01927272727272727,0.002181818181818182,f,"(0.0028, 0.0297]","(-0.001, 0.00233]"
1,Marilu_Henner,261,3950,15,38,0.0037974683544303796,0.009620253164556962,f,"(0.0028, 0.0297]","(0.00819, 0.0125]"
2,Melissa_Gilbert,242,2350,67,26,0.02851063829787234,0.011063829787234043,f,"(0.0028, 0.0297]","(0.00819, 0.0125]"
3,Carolyn_Hennesy,777,3650,93,61,0.02547945205479452,0.016712328767123287,f,"(0.0028, 0.0297]","(0.0162, 0.0195]"
4,Bonnie_Franklin,204,2150,42,50,0.01953488372093023,0.023255813953488372,f,"(0.0028, 0.0297]","(0.0228, 0.0252]"
5,Wendie_Malick,576,3650,104,121,0.028493150684931506,0.03315068493150685,f,"(0.0028, 0.0297]","(0.0304, 0.0354]"
6,Roma_Downey,121,5050,41,202,0.008118811881188119,0.04,f,"(0.0028, 0.0297]","(0.0354, 0.0411]"
7,Eliza_Coupe,154,4600,147,2,0.03195652173913043,0.0004347826086956522,f,"(0.0297, 0.0395]","(-0.001, 0.00233]"
8,Sasha_Alexander,272,3800,113,5,0.02973684210526316,0.0013157894736842105,f,"(0.0297, 0.0395]","(-0.001, 0.00233]"
9,Loni_Anderson,162,2750,82,9,0.029818181818181817,0.0032727272727272726,f,"(0.0297, 0.0395]","(0.00233, 0.00403]"
10,Drea_de_Matteo,117,3700,131,15,0.035405405405405405,0.004054054054054054,f,"(0.0297, 0.0395]","(0.00403, 0.00819]"
11,Morena_Baccarin,1641,4300,162,30,0.037674418604651164,0.0069767441860465115,f,"(0.0297, 0.0395]","(0.00403, 0.00819]"
12,Adrienne_Barbeau,180,2150,77,15,0.035813953488372095,0.0069767441860465115,f,"(0.0297, 0.0395]","(0.00403, 0.00819]"
13,Denise_Crosby,195,3450,122,29,0.03536231884057971,0.008405797101449276,f,"(0.0297, 0.0395]","(0.00819, 0.0125]"
14,Laura_Leighton,210,4550,160,41,0.035164835164835165,0.00901098901098901,f,"(0.0297, 0.0395]","(0.00819, 0.0125]"
15,Andrea_Bowen,233,4250,142,54,0.033411764705882356,0.012705882352941176,f,"(0.0297, 0.0395]","(0.0125, 0.0162]"
16,Sharon_Gless,240,3800,161,9,0.042368421052631576,0.002368421052631579,f,"(0.0395, 0.0455]","(0.00233, 0.00403]"
17,Valerie_Harper,388,3500,144,9,0.04114285714285714,0.0025714285714285713,f,"(0.0395, 0.0455]","(0.00233, 0.00403]"
18,Linda_Gray,198,3750,149,22,0.039733333333333336,0.005866666666666667,f,"(0.0395, 0.0455]","(0.00403, 0.00819]"
19,Melina_Kanakaredes,251,3900,163,66,0.0417948717948718,0.016923076923076923,f,"(0.0395, 0.0455]","(0.0162, 0.0195]"
20,Geena_Davis,428,6200,271,117,0.04370967741935484,0.018870967741935484,f,"(0.0395, 0.0455]","(0.0162, 0.0195]"
21,Holly_Marie_Combs,402,6150,262,121,0.04260162601626016,0.01967479674796748,f,"(0.0395, 0.0455]","(0.0195, 0.0228]"
22,Alyson_Hannigan,665,4450,178,182,0.04,0.04089887640449438,f,"(0.0395, 0.0455]","(0.0354, 0.0411]"
23,Jeanne_Cooper,573,3300,139,208,0.04212121212121212,0.06303030303030303,f,"(0.0395, 0.0455]","(0.0585, 0.0665]"
24,Tyne_Daly,1024,3900,178,5,0.045641025641025644,0.001282051282051282,f,"(0.0455, 0.0535]","(-0.001, 0.00233]"
